WIGOS ID,WMO INDEX,ICAO,Name,Country,Latitude,Longitude,Altitude,Established,Closed
0-20000-0-03531,03531,----,Edgbaston,United Kingdom,52-28-30N,001-56-01W,160,----,1979-09-30
0-0-0-MISSING,03534,EGBB,Birmingham / Airport,United Kingdom,52-27N,001-44W,99,----,----
0-20000-0-03535,03535,----,Coleshill,United Kingdom,52-28-47N,001-41-26W,96,1997-10-01,----
0-20000-0-03544,03544,----,Church Lawford,United Kingdom,52-21-32N,001-19-53W,107,1983-12-01,----
0-20000-0-03559,03559,----,Cardington,United Kingdom,52-06-14N,000-25-17W,29,1980-06-01,----
0-20000-0-03559,03559,----,Cardington,United Kingdom,52-06-14N,000-25-17W,29,1963-01-01,----
0-20000-0-03560,03560,----,Bedford,United Kingdom,52-13-36N,000-27-55W,85,1970-01-01,----
0-0-0-MISSING,03562,EGWZ,Alconbury Royal Air Force Base,United Kingdom,52-22N,000-13W,49,----,----
0-0-0-MISSING,03566,EGUY,Wyton Royal Air Force Base,United Kingdom,52-21N,000-07W,41,----,----
0-0-0-MISSING,03577,EGUN,Mildenhall Royal Air Force Base,United Kingdom,52-22N,000-29E,10,----,----
0-20000-0-03578,03578,----,Mildenhall,United Kingdom,52-22-18N,000-28-20E,5,1949-01-01,1968-12-31
0-0-0-MISSING,03583,EGUL,Lakenheath Royal Air Force Base,United Kingdom,52-25N,000-34E,10,----,----
0-0-0-MISSING,03586,EGXH,Honington Royal Air Force Base,United Kingdom,52-20N,000-46E,54,----,----
0-20000-0-03590,03590,EGUW,Wattisham,United Kingdom,52-07-26N,000-57-27E,86,1961-11-01,----
0-20000-0-03590,03591,----,Wattisham,United Kingdom,52-07N,000-58E,87,----,----
0-20000-0-03601,03601,----,Radar Crug-Y-Gorllwyn,United Kingdom,51-58-46N,004-26-24W,327,----,----
0-20000-0-03603,03603,----,Brawdy,United Kingdom,51-52-47N,005-07-21W,111,1974-10-01,1992-09-30
0-20000-0-03604,03604,----,Milford Haven,United Kingdom,51-42-32N,005-03-11W,44,1964-06-01,----
